compound,solvent,MW,Emi,set,Emi_eV
O=C1C2=C(O[B-](F)(F)[n+]3c2ccc2ccccc23)c2ccc(N3CCOCC3)c3cccc1c23,CO,456.14568,558.0,train,2.2218637992831543
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCOC(C)=O,424.21508,587.0,train,2.112095400340716
[C-]#[N+]c1ccc(-c2ccc(N)cc2)cc1,O,194.0844,457.0,train,2.712910284463895
C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1,ClC(Cl)Cl,378.14085,387.0,train,3.2036175710594312
CC1=C(C(C)(C)C)C(C)=[N+]2C1=C(C)c1c(C)c(C(C)(C)C)c(C)n1[B-]2(F)F,CCCCCCO,374.27049,565.4,train,2.1927838698266715
O=c1c2ccccc2n2c3ccccc3c(=O)c3cc(-c4ccccc4)cc1c32,CCOC(C)=O,373.11028,464.0,train,2.6719827586206897
CC(C)(C)C1Nc2c(Cl)cc(Cl)cc2C(=O)N1Cc1ccccc1,CO,362.09527,448.0,train,2.767410714285714
CN(C)c1ccc(C2=Cc3ccc4ccccc4[n+]3[B-](F)(F)O2)cc1,CCOC(C)=O,338.1402,534.0,train,2.3217228464419475
Cc1ccc2oc(-c3cc4cc(C)ccc4oc3=O)cc2c1,CC#N,290.09429,445.0,train,2.786067415730337
CN(C)c1ccc(C2=Cc3cc(Cl)nc[n+]3[B-](F)(F)O2)cc1,CCCCCC,323.08083,456.0,train,2.7188596491228068
N#Cc1ccc(N)cc1C#N,CCCCCCC,143.04835,353.0,train,3.512181303116148
F[B-]1(F)n2cccc2C=C2C=CC=[N+]21,CC#N,192.06704,506.0,train,2.450197628458498
CC1(C)Nc2ccccc2-c2[nH]c3ccccc3c(=O)c21,CCO,276.12626,523.0,train,2.37055449330784
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)N2c3ccccc3C(C)(C)c3ccccc32)c(C)c1,ClCCl,457.29408,580.0,train,2.137586206896552
CCC1=C(C)C2=Cc3c4ccccc4c4n3[B-](c3ccc(OC)cc3)(Oc3ccccc3-4)[N+]2=C1C,ClCCl,458.21656,639.0,train,1.9402190923317684
COc1ccc2cc(C#N)c(=N)oc2c1,ClCCl,200.05858,387.0,train,3.2036175710594312
O=S1(=O)C(c2cccs2)=C(c2cccs2)c2ccccc21,C1CCOC1,329.98429,485.28,train,2.5548137157929443
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,Cc1ccccc1,343.1361,364.0,train,3.406043956043956
Cc1c(C(=O)c2ccccc2)c2ccc3cccc4c5cccc6ccc1c(c65)c2c34,ClCCl,394.13577,478.0,train,2.5937238493723846
CN(C)c1ccc(C#Cc2ccccc2)cc1,Cc1ccccc1,221.12045,366.0054168801698,train,3.387381560000001
BrCCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,Cc1ccccc1,464.17148,384.0,train,3.228645833333333
Cc1cc(=O)oc2ccc3ccc(-c4cn(Cc5ccccc5)nn4)cc3c12,CCO,367.13208,420.0,train,2.951904761904762
O=S(=O)([O-])c1cc([O-])c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,O,453.9145,511.01231539680106,train,2.42616462
c1csc(-c2cnc(-c3cccs3)c3nonc23)c1,ClC(Cl)Cl,285.00305,611.0,train,2.0291325695581013
Cc1cccc(-c2cnc3ccc4ccccc4n23)c1,ClCCl,258.1157,425.0,train,2.917176470588235
N#Cc1c(F)c(F)c(C#N)c2oc3cc4oc5c(C#N)c(F)c(F)c(C#N)c5oc4cc3oc12,c1ccccc1,462.00122,441.05839416058393,train,2.810965659908978
CNc1cccc2c1C(=O)c1ccccc1C2=O,CCCCCC,237.07898,560.0044800358403,train,2.21391086
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],330.05392,514.0,train,2.4120622568093384
Oc1ccc2ccccc2c1-c1nc(-c2ccccc2)c2ccccn12,CO,336.12626,433.0,train,2.8632794457274824
COCCOCCOCCOc1ccc(OCCOCCOCCOC)c(C=O)c1,CN(C)C=O,430.22028,423.0,train,2.93096926713948
